# Tetrahedron method
       -0.9106477924        0.0000000000
       -0.8561443422        0.0000000000
       -0.8016408920        0.0000000000
       -0.7471374418        0.0000000000
       -0.6926339915        0.0000000000
       -0.6381305413        0.0000000000
       -0.5836270911        0.0000000000
       -0.5291236408        0.0000000000
       -0.4746201906        0.0000000000
       -0.4201167404        0.0000000000
       -0.3656132901        0.0000000000
       -0.3111098399        0.0000000000
       -0.2566063897        0.0000000000
       -0.2021029395        0.0000000000
       -0.1475994892        0.0000000000
       -0.0930960390        0.0000000000
       -0.0385925888        0.0000000000
        0.0159108615        0.0069207362
        0.0704143117        0.0285637527
        0.1249177619        0.0575305680
        0.1794212122        0.0744388386
        0.2339246624        0.0944658206
        0.2884281126        0.1094096862
        0.3429315628        0.1194542624
        0.3974350131        0.1346624192
        0.4519384633        0.1453078911
        0.5064419135        0.1544634082
        0.5609453638        0.1643860561
        0.6154488140        0.1720666963
        0.6699522642        0.1830679610
        0.7244557145        0.1932504348
        0.7789591647        0.2023706943
        0.8334626149        0.2107872856
        0.8879660652        0.2204912712
        0.9424695154        0.2305185060
        0.9969729656        0.2396540018
        1.0514764158        0.2502729483
        1.1059798661        0.2612421070
        1.1604833163        0.2706534915
        1.2149867665        0.2793853621
        1.2694902168        0.2919346896
        1.3239936670        0.3034970821
        1.3784971172        0.3139515604
        1.4330005675        0.3251322986
        1.4875040177        0.3380273009
        1.5420074679        0.3497015245
        1.5965109181        0.3610328235
        1.6510143684        0.3762267278
        1.7055178186        0.3901669294
        1.7600212688        0.4028809938
        1.8145247191        0.4181915831
        1.8690281693        0.4340086484
        1.9235316195        0.4502233720
        1.9780350698        0.4667424179
        2.0325385200        0.4839892195
        2.0870419702        0.5045934503
        2.1415454204        0.5228226398
        2.1960488707        0.5453741371
        2.2505523209        0.5691076953
        2.3050557711        0.5935099194
        2.3595592214        0.6211702576
        2.4140626716        0.6501837613
        2.4685661218        0.6840482855
        2.5230695721        0.7248263433
        2.5775730223        0.7637415117
        2.6320764725        0.8110785257
        2.6865799227        0.8807959974
        2.7410833730        0.9542693930
        2.7955868232        1.1163570495
        2.8500902734        1.5464660859
        2.9045937237        1.8686472044
        2.9590971739        2.2082549233
        3.0136006241        2.2416197272
        3.0681040744        2.0861407656
        3.1226075246        2.0674558540
        3.1771109748        2.6227917390
        3.2316144251        0.7206869304
        3.2861178753        0.7798566379
        3.3406213255        0.8519669187
        3.3951247757        0.9709783483
        3.4496282260        1.1163850483
        3.5041316762        1.3505736563
        3.5586351264        1.8139112274
        3.6131385767        2.7251985609
        3.6676420269        1.6601898725
        3.7221454771        3.1432894145
        3.7766489274        1.2412307454
        3.8311523776        1.3200843019
        3.8856558278        2.6301701800
        3.9401592780        0.5848439752
        3.9946627283        0.4738382777
        4.0491661785        0.4121774240
        4.1036696287        0.3656655854
        4.1581730790        0.3227301311
        4.2126765292        0.0266536032
        4.2671799794        0.0000000000
        4.3216834297        0.0000000000
        4.3761868799        0.0000000000
        4.4306903301        0.0000000000
        4.4851937803        0.0000000000
        4.5396972306        0.0000000000
        4.5942006808        0.0000000000
        4.6487041310        0.0000000000
        4.7032075813        0.0000000000
        4.7577110315        0.0000000000
        4.8122144817        0.0000000000
        4.8667179320        0.0000000000
        4.9212213822        0.0000000000
        4.9757248324        0.0000000000
        5.0302282826        0.0000000000
        5.0847317329        0.0000000000
        5.1392351831        0.8207889895
        5.1937386333        0.8474423630
        5.2482420836        0.8611220464
        5.3027455338        0.9018551257
        5.3572489840        0.9528845211
        5.4117524343        1.0052281512
        5.4662558845        1.0650428395
        5.5207593347        1.1423708837
        5.5752627850        1.2557316431
        5.6297662352        1.4445141636
        5.6842696854        2.3650232411
        5.7387731356        1.8662239658
        5.7932765859        1.3469319637
        5.8477800361        1.1910653393
        5.9022834863        1.1112887271
        5.9567869366        1.0730140651
        6.0112903868        1.0863966858
        6.0657938370        1.8020392910
        6.1202972873        0.4490766287
        6.1748007375        0.5240219933
        6.2293041877        3.2189600818
        6.2838076379        3.5414482869
        6.3383110882        3.7523228376
        6.3928145384        1.9096716381
        6.4473179886        1.3063209668
        6.5018214389        3.6981618022
        6.5563248891        4.7834208794
        6.6108283393        2.4017034588
        6.6653317896        1.7315788470
        6.7198352398        1.3507744777
        6.7743386900        0.8630215121
        6.8288421402        0.3228120970
        6.8833455905        0.2768148108
        6.9378490407        0.2342451440
        6.9923524909        0.1977996411
        7.0468559412        0.1615324157
        7.1013593914        0.6855322755
        7.1558628416        2.4057025531
        7.2103662919        4.2070545611
        7.2648697421        9.8622394902
        7.3193731923        1.5608141006
        7.3738766425        1.2833009096
        7.4283800928        1.1685239392
        7.4828835430        0.6250175299
        7.5373869932        1.5573250022
        7.5918904435        3.1938782436
        7.6463938937        4.4981048062
        7.7008973439        4.7289129795
        7.7554007942        6.1295729307
        7.8099042444        7.7133969812
        7.8644076946        0.7063126051
        7.9189111449        0.5801485644
        7.9734145951        0.5132692971
        8.0279180453        0.4688280643
        8.0824214955        0.4335340547
        8.1369249458        0.4053952360
        8.1914283960        0.3822858736
        8.2459318462        0.3628747144
        8.3004352965        0.3463065433
        8.3549387467        0.3319874639
        8.4094421969        0.3193838486
        8.4639456472        0.3082629183
        8.5184490974        0.2982776673
        8.5729525476        0.2894383377
        8.6274559978        0.2812987516
        8.6819594481        0.2750118831
        8.7364628983        0.2662865670
        8.7909663485        0.2611511759
        8.8454697988        0.2577150218
        8.8999732490        0.2473686297
        8.9544766992        0.2416336462
        9.0089801495        0.2346983236
        9.0634835997        0.2292310327
